0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,obama,president obama,president,the,watch president obama,world,nation,woman,we,watch president,future,year,in,if,watch,justice,when,opportunity,every,president obama #actonclimate
1,change,climate,climate change,change #actonclimate,climate change #actonclimate,action,#actonclimate,denier,change denier,climate change denier,action climate,action climate change,fight climate,fight climate change,bold,global,effect,fighting climate change,fighting climate,bold action
2,speaking,president obama speaking,obama speaking,live president,live,live president obama,conference,tune in,national,tune,summit,economy,in,life,anniversary,today s,importance,month,women,ruling
3,judge,garland,judge garland,hearing,senate,fair,#doyourjob,fair hearing,give,senate leader,leader,give judge,give judge garland,vote,garland fair,judge garland fair,garland fair hearing,deserves,deserves fair,merrick
4,rt,@whitehouse,rt @whitehouse,@potus,rt @whitehouse watch,@whitehouse watch,watch,watch @potus,@whitehouse watch @potus,rt @whitehouse breaking,@whitehouse breaking,@whitehouse we,rt @whitehouse we,@whitehouse rt,rt @whitehouse rt,news,breaking,rt agree,statement,et
5,et,m et,watch,watch president,m,p m,p m et,p,watch president obama,et watch,tune,m et watch,et watch president,speak,president obama speak,obama speak,2,tune 2,11,deliver
6,care,health care,health,affordable health,affordable health care,affordable,quality,right,marketplace,all,care reform,health care reform,health coverage,access,enrollment,marketplace open,icymi,coverage,obamacare,@ofa volunteer
7,address,weekly address,weekly,address president,weekly address president,address president obama,discus,president obama discus,obama discus,watch weekly,watch weekly address,watch,president,talk,president discus,anniversary,expanding,budget,pas,president obama
8,s,u,u s,women s,president s,women,job,world,year,solar,national,years,america s,two,nation,world s,today s,#parisagreement,great,fact
9,job,private,private sector,sector,growth,month,job growth,sector job,private sector job,added,record,000,000 job,economy added,sector job growth,economy,month private sector,month private,record breaking,consecutive
10,name,add,add name,add name agree,name agree,agree,support,add name support,name support,stand,think,add name think,name think,air,equal,think senate,believe,partisan,ready,want
11,court,supreme court,supreme,#doyourjob,senate,senate leader,leader,vacancy,leaders,senate leaders,court vacancy,supreme court vacancy,fill,obstruction,unprecedented,political,partisan,supreme court nomination,court nomination,fill supreme court
12,now,happening,now president,happening now,happening now president,now president obama,statement,delivers,obama delivers,president obama delivers,delivering,tune,delivering statement,remark,president,obama delivering statement,president obama delivering,obama delivering,tune in,president obama
13,#getcovered,left,#getcovered today,option,coverage,miss,around,check option,start,tomorrow,plan,spread word,spread,word,new year,rt,2016,obamacare,watch,much
14,ve,we,we ve,got,ve got,we ve got,come,ve made,we ve made,we ve come,ve come,progress we,work,progress we ve,way,do,long,work do,since,crisis
15,team,truth,truth team,join,@ofa truth team,@ofa truth,join @ofa,@ofa,join @ofa truth,facts,stay,fact,informed,join team,ofa,issue,fighting,part,matter,spread
16,#sotu,obama #sotu,president obama #sotu,our,want,democracy,future,work,voice,business,tonight,basic,i,science,every,work together,ready,years,crisis,generation
17,#actonclimate,time #actonclimate,support,record,obama #actonclimate,president obama #actonclimate,show,show support,air,company,year,global,fight #actonclimate,future,step,planet,another,solar,child,find
18,time,time #actonclimate,first time,agree time,first,enough,congress,time congress,much,#leadonleave,left,agree,watch,#unitedonclimate,s,for,better,back,almost,think
19,happy,birthday,happy birthday,wish,july,@vp,rt,year,great,@flotus,thank,from,chief,20,yours,50,president,rt @flotus,month,celebrate
20,enter,chance,meet,meet president,meet president obama,chance meet,enter chance,chance meet president,could,enter now,miss,win,fall,friend,want,alaska,now,hawaii,last,james
21,american,million,million american,american worker,worker,gained,coverage,american people,security,security health,10,majority american,every,nearly,majority,economy,leadership,american auto industry,american auto,thanks
22,read,more,read more,read president,former,read president obama,organizer,story,helped,obama administration,fellow,organizing,administration,federal,job,difference,op ed,op,ed,save
23,gun,violence,gun violence,congress,#dosomething,#disarmhate,common sense,common,sense,act,time congress,demand,speak,reduce,enough,prevent,stop,keep,must,calling
24,make,sure,make sure,loved,community,want,covered,special,difference,safer,like,we,rule,start,deserve,better,holiday,play,work,world
25,#irandeal,president obama #irandeal,obama #irandeal,iran,deal,nuclear,decade,clear,world,question,historic,away,the,program,agreement,helped,stand,safer,made,prevent
26,middle,class,middle class,economics,middle class economics,class economics,middle class families,class families,families,down,budget,trade,president obama #leadontrade,obama #leadontrade,talking,workers,stand,#leadontrade,rate,#americaleads
27,system,immigration,#immigrationaction,immigration system,broken,broken immigration,broken immigration system,fix,fix broken,taking,fix broken immigration,president obama #immigrationaction,obama #immigrationaction,action,he s,congress,step,he,president,help
28,wage,minimum,minimum wage,#raisethewage,raising,raising minimum wage,raising minimum,raise,poverty,know,petition,support,7,state,working american,10,fact,action,higher,watch
29,power,plan,clean power,power plan,clean power plan,clean,step,fight #actonclimate,support,fighting,find,show support,forward,step forward,improve,show,stand,taken,ever,leader
30,obama s,president obama s,s,read president,read president obama,president obama,obama,president,message,s latest,latest,big,check president obama,check president,s birthday,final,last,op,op ed,ed
31,today,today s,#getcovered today,today president,today president obama,give,birthday,free,grassroots,history,school,fellow,last,dollar,woman,movement,college,high,community,ruling
32,that,that s,s,fighting,join team,team,planet,join,win,leave,and,child,street,easy,now,everyone,6,worth,challenge,helped
33,there,there s,s,do,work,work do,but,still,s work,there s work,s still,there s still,but there s,but there,lot,nothing,economy,do president obama,do president,help
34,house,white house,white,live,watch,@flotus,or,2015,child,first,kid,conference,criminal justice,criminal,see,summit,here,watch here,justice,james
35,let,let s,s,go,keep,let s keep,s keep,right,win,woman,economy,work,right now,strong,let climate,let climate change,start,change denier,climate change denier,building
