id,user_id,created_at,tweet_text,President Obama,Fight climate Change,Judge Garland nomination,White House twitter handle,President Obama live speech
6.71132E+17,813286,11/30/2015 1:00,RT @FactsOnClimate: BREAKING: @POTUS joins 19 countries to double clean energy funding - https://t.co/T2lZWRsuja #ActOnClimate #COP21 https...,0,0,0,0.0494,0
5.52576E+17,813286,1/6/2015 21:23,Don't forget: This is why we fought for health care reform. http://t.co/flVyNsADeB,0,0,0,0,0
5.70298E+17,813286,2/24/2015 19:03,Some in Congress would choose not to fund @DHSgov rather than fix our broken immigration system. #EnoughAlready,0,0,0,0,0
7.71071E+17,813286,8/31/2016 19:42,Senate leaders need to hear you expect a vote on Judge Garland when recess ends--say you'll let them know: https://t.co/ETmcpsRRY6 #DoYourJob,0,0,0.176,0,0
5.49615E+17,813286,12/29/2014 17:17,"President Obama: ""I won't stop fighting for the American people until the day I leave this office. That's a promise."" http://t.co/nSu23qqy51",0.034,0,0,0,0
6.07988E+17,813286,6/8/2015 19:11,"RT @WhiteHouse: ""All the G-7 countries have now put forward our post-2020 targets for reducing carbon emissions"" --@POTUS #G7Summit http://t...",0,0,0,0.1133,0
6.36229E+17,813286,8/25/2015 17:27,These fellows are fighting for progress by building new digital organizing skills. Read more: http://t.co/mVjs9ly9wE,0,0,0,0,0
6.66727E+17,813286,11/17/2015 21:18,RT @OFA: Meet @GQMagazine's 2015 Man of the Year: President @BarackObama. https://t.co/HoaCoPm22s,0.0137,0,0,0.0172,0
5.13406E+17,813286,9/20/2014 19:14,Check this out: @OFA volunteers in California took a stand for clean energy. http://t.co/L7NkNShKz3 #SwitchToClean,0,0,0,0,0
8.18967E+17,813286,1/10/2017 23:44,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell",0.044,0,0,0.0015,0.0548
5.75357E+17,813286,3/10/2015 18:08,"""I'm only standing here because of scholarships and loans and work study."" --President Obama #CollegeOpportunity",0.0356,0,0,0,0.0031
5.35588E+17,813286,11/21/2014 0:16,Watch at 8 p.m. ET: President Obama is laying out common-sense steps forward on immigration: http://t.co/eG4leiFU8u #ImmigrationAction,0.0243,0,0,0,0.136
6.04294E+17,813286,5/29/2015 14:32,New clean water provisions will help protect the health of 117 million Americans. Read more: http://t.co/7qXT338jls #CleanWaterRules,0,0,0,0,0
5.6379E+17,813286,2/6/2015 20:01,"""Let's roll up our sleeves, work together, and try to get something done."" --President Obama",0.0422,0,0,0,0
5.12602E+17,813286,9/18/2014 13:58,"Ranchers and farmers are facing instability, due to the effects of climate change: http://t.co/9F3dvsZLH0 #ActOnClimate",0,0.1531,0,0,0
6.44242E+17,813286,9/16/2015 20:09,"RT @POTUS: Cool clock, Ahmed. Want to bring it to the White House? We should inspire more kids like you to like science. It's what makes Am...",0,0,0,0.0419,0
7.07341E+17,813286,3/8/2016 23:01,RT @FLOTUS: #OneDayIWill see a world where every child can go to school and fulfill their boundless potential. #IWD2016 https://t.co/FonwXC...,0.002,0,0,0.0306,0
7.58686E+17,813286,7/28/2016 15:31,It's time to offer serious solutions on how to build on #Obamacare's progress--not take it away. https://t.co/rw69A5Jybh,0,0,0,0,0
6.37288E+17,813286,8/28/2015 15:36,"RT @WhiteHouse: ""You know the sun comes out after every storm."" --@POTUS on the progress since Katrina and the work still ahead: http://t.co...",0,0,0,0.1067,0
6.56602E+17,813286,10/20/2015 22:43,RT @WhiteHouse: What's it like to call space? Watch @POTUS call the astronauts on the @Space_Station. #AstronomyNight https://t.co/cgQIoOb2...,0.0006,0,0,0.1043,0.0095
6.18801E+17,813286,7/8/2015 15:17,Add your name--because a hard day's work deserves a fair day's pay: http://t.co/vX3Cvdk75x #FixOvertime,0,0,0.0266,0,0
5.1523E+17,813286,9/25/2014 20:03,How President Obama is answering the call to #ActOnClimate. http://t.co/ngFpcc4sb2,0.0862,0,0,0,0
5.35909E+17,813286,11/21/2014 21:35,"""We didn't raise the Statue of Liberty with her back to the world--we did it with her light shining."" --President Obama #ImmigrationAction",0.0445,0,0,0,0
5.43454E+17,813286,12/12/2014 17:13,RT @EnrollAmerica: Give yourself a #Healthy2015 by getting covered today! @GetCoveredUS is here to help: http://t.co/vfn15euqzQ http://t.co...,0,0,0.0143,0.0333,0
5.33703E+17,813286,11/15/2014 19:29,"Thanks to health care reform, Doris finally has an affordable plan. http://t.co/VvDJo9e7X6 #ThisIsWhy http://t.co/aJE1yeoHjC",0,0,0,0,0
5.22177E+17,813286,10/15/2014 0:08,LAST CALL: Add your name tonight to tell the EPA you support cutting carbon pollution. http://t.co/0yKo0i4uPh,0,0,0,0,0
5.97823E+17,813286,5/11/2015 17:59,"As we continue to celebrate mothers, let's make sure workplace policies live up to what they deserve: http://t.co/hloGsujQfS #LeadOnLeave",0,0,0,0,0
6.21076E+17,813286,7/14/2015 21:55,"""We should not tolerate conditions in prison that have no place in any civilized country."" --President Obama",0.0709,0,0,0,0
7.51429E+17,813286,7/8/2016 14:53,"RT @WhiteHouse: ""We stand united with the people and the police department in Dallas."" --@POTUS on last night's attack in #Dallas: https://t...",0,0,0,0.1011,0
7.23903E+17,813286,4/23/2016 15:55,"""From our family to yours, chag sameach."" --President Obama #Passover",0.0551,0,0,0,0
6.58746E+17,813286,10/26/2015 20:45,"RT @FactsOnClimate: In 2030, the #CleanPowerPlan will PREVENT:
300,000 missed work days and school days.
1,700 non-fatal heart attacks. htt...",0,0,0,0.0273,0
6.84481E+17,813286,1/5/2016 21:05,RT @questlove: In light of all that was experienced in 2015 #StopGunViolence shouldn't even be a question amongst US citizens. Been saying ...,0,0,0,0.0309,0
5.91305E+17,813286,4/23/2015 18:16,Here's a reminder from @GinaEPA of a few challenges the EPA has conquered in the past: http://t.co/voNhiOhjX6 #ActOnClimate,0,0,0,0,0
6.2897E+17,813286,8/5/2015 16:46,"""How can we in good conscience justify war before we have tested a diplomatic agreement that achieves our objectives?"" --President Obama",0.075,0,0,0,0
6.57264E+17,813286,10/22/2015 18:34,LIVE: President Obama is hosting a panel at the White House on criminal justice reform. https://t.co/mAtffm9LmG,0.0366,0,0,0,0
6.78254E+17,813286,12/19/2015 16:43,"In the weekly address, President Obama gives a roundup of the top ten things that happened in 2015. Watch: https://t.co/8CBy0inbgq",0.0283,0,0.0092,0,0.0032
6.42098E+17,813286,9/10/2015 22:09,"""This vote is a victory for diplomacy ... and for the safety and security of the world."" --President Obama on the #IranDeal vote",0.0372,0,0.0216,0,0
6.63836E+17,813286,11/9/2015 21:51,LIVE: President Obama is speaking to @OFA volunteers at the #OFAFallSummit. https://t.co/Ao84Izvixv,0.0375,0,0,0,0
6.33318E+17,813286,8/17/2015 16:41,Take a stand with state leaders committed to #ActOnClimate. Show your support for the Clean Power Plan: http://t.co/yo59OncP6E,0,0,0.0085,0,0
5.51513E+17,813286,1/3/2015 22:58,Watch the weekly address: @VP Biden wants people to #GetCovered in the new year. http://t.co/qgvyiUqMAy,0,0,0,0,0.0062
6.39806E+17,813286,9/4/2015 14:24,"The economy added 173,000 jobs in August--a record-breaking 66 consecutive months of private-sector job growth.",0,0,0,0,0
5.47132E+17,813286,12/22/2014 20:49,It's the holiday season--sign this card for President Obama: http://t.co/1hMgLtyJF4,0.0415,0,0,0,0
6.07922E+17,813286,6/8/2015 14:49,Stand up for expanding #CollegeOpportunity for hard-working students: http://t.co/pTyByoRWiB http://t.co/6CzJziVTGw,0,0,0,0,0
7.63429E+17,813286,8/10/2016 17:36,Don't let the cynics win. Keep pushing for change with @OFA. https://t.co/uNYCHVCDWH,0,0.042,0,0,0
6.86967E+17,813286,1/12/2016 17:42,One last time. #SOTU https://t.co/Fu9YeOQG9D,0,0,0,0,0
7.33327E+17,813286,5/19/2016 16:02,Stand up for middle-class workers--add your name to support the Obama administration's new #overtime rule: https://t.co/SCLjZFP6aX,0.0079,0,0,0,0
6.82659E+17,813286,12/31/2015 20:25,Thinking of ways you can help out over the next year? Look no further: https://t.co/BhXZzzrqqt https://t.co/dYSv2HwKjW,0,0,0,0,0
5.17754E+17,813286,10/2/2014 19:12,"""It is the American people who have made the progress of the last six years possible."" --President Obama #AmericaLeads",0.0349,0,0,0,0
6.05443E+17,813286,6/1/2015 18:37,Be on the right side of history. Add your name to continue the fight for equality: http://t.co/08I1PRCsAM #LoveIsLove,0,0,0,0,0
