Symbol,Name,Sector
MSFT,Microsoft Corporation,Information Technology
AAPL,Apple Inc.,Information Technology
AMZN,Amazon.com Inc.,Consumer Discretionary
FB,Facebook Inc. Class A,Information Technology
BRK-B,Berkshire Hathaway Inc. Class B,Financials
JNJ,Johnson & Johnson,Health Care
GOOG,Alphabet Inc. Class C,Information Technology
GOOGL,Alphabet Inc. Class A,Information Technology
PG,Procter & Gamble Company,Consumer Staples
JPM,JPMorgan Chase & Co.,Financials
V,Visa Inc. Class A,Information Technology
INTC,Intel Corporation,Information Technology
VZ,Verizon Communications Inc.,Telecommunication Services
UNH,UnitedHealth Group Incorporated,Health Care
MA,Mastercard Incorporated Class A,Information Technology
T,AT&T Inc.,Telecommunication Services
HD,Home Depot Inc.,Consumer Discretionary
MRK,Merck & Co. Inc.,Health Care
PFE,Pfizer Inc.,Health Care
DIS,Walt Disney Company,Consumer Discretionary
PEP,PepsiCo Inc.,Consumer Staples
XOM,Exxon Mobil Corporation,Energy
KO,Coca-Cola Company,Consumer Staples
CSCO,Cisco Systems Inc.,Information Technology
WMT,Walmart Inc.,Consumer Staples
BAC,Bank of America Corp,Financials
NFLX,Netflix Inc.,Information Technology
NVDA,NVIDIA Corporation,Information Technology
CMCSA,Comcast Corporation Class A,Consumer Discretionary
ADBE,Adobe Inc.,Information Technology
CVX,Chevron Corporation,Energy
ABT,Abbott Laboratories,Health Care
BMY,Bristol-Myers Squibb Company,Health Care
COST,Costco Wholesale Corporation,Consumer Staples
AMGN,Amgen Inc.,Health Care
MCD,McDonald's Corporation,Consumer Discretionary
LLY,Eli Lilly and Company,Health Care
CRM,salesforce.com inc.,Information Technology
PM,Philip Morris International Inc.,Consumer Staples
MDT,Medtronic Plc,Health Care
TMO,Thermo Fisher Scientific Inc.,Health Care
ABBV,AbbVie Inc.,Health Care
NEE,NextEra Energy Inc.,Utilities
PYPL,PayPal Holdings Inc,Information Technology
ORCL,Oracle Corporation,Information Technology
WFC,Wells Fargo & Company,Financials
NKE,NIKE Inc. Class B,Consumer Discretionary
ACN,Accenture Plc Class A,Information Technology
UNP,Union Pacific Corporation,Industrials
AMT,American Tower Corporation,Real Estate
